Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Cyle Larin;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 2–2;Mallorca;Almería;Y;FW;62;1;0;0;0;7;2;0;0;21;0;0;0;1.4;1.4;0.0;1;0;4;2;66.7;1;12;1;0;Match Report;;;;;;;;;;;;;;;;;;
Toni Lato;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 2–2;Mallorca;Almería;N;LB;15;0;0;0;0;0;0;0;0;12;0;0;0;0.0;0.0;0.0;1;0;10;0;83.3;1;4;0;0;Match Report;;;;;;;;;;;;;;;;;;
Armand Lauriente;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–2;Sassuolo;Cagliari;Y;LW,FW;90;0;0;0;0;0;0;0;0;38;2;0;1;0.0;0.0;0.0;2;0;15;4;65.2;4;16;3;2;Match Report;;;;;;;;;;;;;;;;;;
Jérémy Le Douaron;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 3–0;Brest;Toulouse;N;FW;4;0;0;0;0;0;0;0;0;1;0;0;0;0.0;0.0;0.0;0;0;0;0;0.0;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Enzo Le Fée;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y;DM;77;0;0;0;0;1;0;0;0;73;1;0;0;0.0;0.0;0.1;5;0;58;6;82.9;9;65;4;6;Match Report;;;;;;;;;;;;;;;;;;
Jean-Louis Leca;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;Y;GK;90;;;;0;;;;;;;;;;;;;;1;4;10.0;;;;;Match Report;2;2;0;0.0;0;1.0;0;0;0;22;5;75.0;60.5;8;0;0.0;0;9.8
Jeremías Ledesma;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 0–0;Cádiz;Las Palmas;Y*;GK;90;;;;0;;;;;;;;;;;;;;10;10;40.0;;;;;Match Report;1;0;1;100.0;1;0.1;0;0;0;33;5;80.0;62.6;9;0;0.0;4;23.6
Florian Lejeune;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–3;Rayo Vallecano;Barcelona;Y;CB;90;0;0;0;0;2;0;0;0;38;0;0;2;0.1;0.1;0.0;0;0;18;0;60.0;1;9;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mario Lemina;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–2;Wolves;Liverpool;Y;DM,CB;90;0;0;0;0;0;0;0;0;46;4;0;1;0.0;0.0;0.0;0;0;30;2;78.9;1;22;0;1;Match Report;;;;;;;;;;;;;;;;;;
Clément Lenglet;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;Y;CB;90;0;0;0;0;0;0;1;0;71;0;1;1;0.0;0.0;0.0;0;0;63;0;91.3;1;50;0;0;Match Report;;;;;;;;;;;;;;;;;;
Bernd Leno;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Fulham;Luton Town;Y;GK;90;;;;1;;;;;;;;;;;;;;4;5;33.3;;;;;Match Report;6;2;4;83.3;0;2.7;1;0;0;40;5;80.0;59.6;13;0;0.0;2;13.6
Jefferson Lerma;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 5–0;Crystal Palace;Aston Villa;N;CM;15;0;0;0;0;0;0;0;0;22;1;0;0;0.0;0.0;0.0;0;0;19;0;90.5;1;14;0;0;Match Report;;;;;;;;;;;;;;;;;;
Robert Lewandowski;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 3–0;Barcelona;Rayo Vallecano;Y;FW;78;1;0;0;0;2;1;0;0;17;0;0;1;0.3;0.3;0.0;2;0;10;3;83.3;3;10;1;2;Match Report;;;;;;;;;;;;;;;;;;
Pol Lirola;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 1–0;Frosinone;Monza;Y;CB;90;0;0;0;0;1;0;0;0;29;4;0;1;0.1;0.1;0.0;2;0;14;1;73.7;0;10;1;1;Match Report;;;;;;;;;;;;;;;;;;
Diego Llorente;2024-05-19;Sun;Serie A;Matchweek 37;Home;W 1–0;Roma;Genoa;Y;CB;90;0;0;0;0;1;0;0;0;72;0;2;1;0.0;0.0;0.0;1;0;47;1;82.5;6;47;0;0;Match Report;;;;;;;;;;;;;;;;;;
Marcos Llorente;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–4;Atlético Madrid;Osasuna;Y;RM,RB,WB;90;0;0;0;0;1;0;0;0;46;1;0;2;0.0;0.0;0.5;1;0;32;0;82.1;3;32;1;0;Match Report;;;;;;;;;;;;;;;;;;
Gautier Lloris;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;Y;CB;90;0;0;0;0;0;0;0;0;49;1;3;1;0.0;0.0;0.0;1;0;32;1;91.4;0;31;1;0;Match Report;;;;;;;;;;;;;;;;;;
Enzo Loiodice;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 0–0;Las Palmas;Cádiz;Y;LM;72;0;0;0;0;0;0;0;0;53;4;0;1;0.0;0.0;0.1;1;0;30;0;73.2;3;18;1;0;Match Report;;;;;;;;;;;;;;;;;;
Sean Longstaff;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Newcastle Utd;Brentford;Y;RM,CM;90;0;0;0;0;0;0;0;0;37;1;2;0;0.0;0.0;0.0;0;0;25;4;78.1;3;23;2;3;Match Report;;;;;;;;;;;;;;;;;;
Fermin López;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 3–0;Barcelona;Rayo Vallecano;Y;AM;61;0;0;0;0;2;1;0;0;31;2;0;0;0.1;0.1;0.0;0;0;17;1;77.3;4;20;2;0;Match Report;;;;;;;;;;;;;;;;;;
Unai López;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–3;Rayo Vallecano;Barcelona;N;CM;12;0;0;0;0;0;0;0;0;10;0;0;1;0.0;0.0;0.0;0;0;9;0;100.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Jordan Lotomba;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;N;LB,WB;26;1;0;0;0;1;1;0;0;15;1;2;0;0.2;0.2;0.0;0;0;6;2;66.7;0;9;1;0;Match Report;;;;;;;;;;;;;;;;;;
Tom Louchet;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;Y;WB,RB;90;0;1;0;0;0;0;0;0;83;3;2;0;0.0;0.0;0.3;3;1;53;3;74.6;3;53;3;0;Match Report;;;;;;;;;;;;;;;;;;
Imran Louza;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;N;AM,CM;34;0;0;0;0;2;0;0;0;33;2;0;0;0.1;0.1;0.0;6;0;17;0;58.6;5;22;1;0;Match Report;;;;;;;;;;;;;;;;;;
Max Lowe;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–3;Sheffield Utd;Tottenham;Y;LB;68;0;0;0;0;0;0;0;0;23;1;0;2;0.0;0.0;0.0;1;0;11;1;57.9;1;7;0;1;Match Report;;;;;;;;;;;;;;;;;;
Anthony Lozano;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 2–2;Almería;Mallorca;N;FW;26;0;0;0;0;1;1;0;0;12;2;0;0;0.0;0.0;0.0;2;0;7;0;100.0;1;5;1;0;Match Report;;;;;;;;;;;;;;;;;;
Lorenzo Lucca;2024-05-19;Sun;Serie A;Matchweek 37;Home;D 1–1;Udinese;Empoli;Y;FW;90;0;0;0;0;0;0;0;0;28;0;0;0;0.0;0.0;0.2;2;0;10;1;58.8;2;18;1;1;Match Report;;;;;;;;;;;;;;;;;;
José Luis Gayà;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–3;Valencia;Girona;N;LB;11;0;0;0;0;0;0;0;0;6;0;0;0;0.0;0.0;0.0;0;0;3;0;50.0;0;4;1;0;Match Report;;;;;;;;;;;;;;;;;;
Romelu Lukaku;2024-05-19;Sun;Serie A;Matchweek 37;Home;W 1–0;Roma;Genoa;Y;FW;89;1;0;0;0;3;3;1;0;26;1;0;0;0.2;0.2;0.2;3;0;12;0;70.6;0;14;2;0;Match Report;;;;;;;;;;;;;;;;;;
Dodi Lukebakio;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–2;Sevilla;Athletic Club;Y;AM;84;0;0;0;0;2;1;0;0;23;0;0;1;0.2;0.2;0.0;1;0;8;2;66.7;1;18;3;1;Match Report;;;;;;;;;;;;;;;;;;
Andriy Lunin;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 4–4;Real Madrid;Villarreal;Y;GK;90;;;;0;;;;;;;;;;;;;;2;6;50.0;;;;;Match Report;7;4;3;42.9;0;3.1;0;0;0;36;4;16.7;28.8;17;0;0.0;2;17.3
Sebastiano Luperto;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;Y*;CB;90;0;0;0;0;0;0;0;0;59;0;1;0;0.0;0.0;0.0;0;0;35;0;70.0;1;28;0;0;Match Report;;;;;;;;;;;;;;;;;;
Zito Luvumbo;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 2–0;Cagliari;Sassuolo;N;LW;45;0;0;0;0;1;0;0;0;20;1;0;0;0.1;0.1;0.0;3;1;9;3;64.3;0;10;3;0;Match Report;;;;;;;;;;;;;;;;;;
Othmane Maamma;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;Y;RW;58;1;0;0;0;1;1;0;0;29;2;0;1;0.2;0.2;0.0;2;0;17;3;89.5;0;24;0;1;Match Report;;;;;;;;;;;;;;;;;;
Alexis Mac Allister;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–0;Liverpool;Wolves;Y;LM;69;1;0;0;0;2;1;0;0;49;3;1;0;0.6;0.6;0.2;4;0;39;0;92.9;4;20;3;0;Match Report;;;;;;;;;;;;;;;;;;
Deiver Machado;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;Y;WB;90;1;0;0;0;2;1;0;0;61;4;0;3;0.8;0.8;0.0;3;0;39;3;86.7;3;38;2;1;Match Report;;;;;;;;;;;;;;;;;;
James Maddison;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;AM;87;0;1;0;0;2;1;0;0;84;0;0;0;0.9;0.9;0.6;8;2;69;0;89.6;11;60;0;0;Match Report;;;;;;;;;;;;;;;;;;
Noni Madueke;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Chelsea;Bournemouth;Y;RW;63;0;0;0;0;1;0;0;0;28;1;0;0;0.1;0.1;0.0;3;0;19;4;90.5;4;20;3;2;Match Report;;;;;;;;;;;;;;;;;;
Soungoutou Magassa;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 4–0;Monaco;Nantes;Y;CM;90;0;0;0;0;0;0;1;0;104;5;0;0;0.0;0.0;0.0;1;0;90;1;96.8;12;86;0;0;Match Report;;;;;;;;;;;;;;;;;;
Hugo Magnetti;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 3–0;Brest;Toulouse;Y;DM;90;0;0;0;0;2;0;0;0;64;4;2;1;0.4;0.4;0.1;1;0;48;0;90.6;3;44;1;0;Match Report;;;;;;;;;;;;;;;;;;
Yohann Magnin;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–5;Clermont Foot;Lorient;Y*;DM,CM;80;0;0;0;0;1;0;1;0;64;3;1;2;0.1;0.1;0.1;2;0;41;1;85.4;6;45;0;0;Match Report;;;;;;;;;;;;;;;;;;
Frank Magri;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–3;Toulouse;Brest;N;RW;34;0;0;0;0;1;0;0;0;15;1;0;0;0.1;0.1;0.0;1;0;7;1;77.8;0;13;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kobbie Mainoo;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;Y;DM;74;0;0;0;0;0;0;0;0;45;2;0;0;0.0;0.0;0.1;1;0;28;4;84.8;1;29;2;3;Match Report;;;;;;;;;;;;;;;;;;
Ainsley Maitland-Niles;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;N;LB;2;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;1;0;7;0;87.5;1;7;0;0;Match Report;;;;;;;;;;;;;;;;;;
Radosław Majecki;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 4–0;Monaco;Nantes;Y;GK;90;;;;0;;;;;;;;;;;;;;0;3;0.0;;;;;Match Report;2;0;2;100.0;1;0.2;0;0;0;23;6;0.0;15.7;4;2;50.0;2;12.1
Youssef Maleh;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;Y;CM;90;0;0;0;0;0;0;0;0;59;4;2;0;0.0;0.0;0.0;1;0;34;0;73.9;7;23;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ruslan Malinovskyi;2024-05-19;Sun;Serie A;Matchweek 37;Away;L 0–1;Genoa;Roma;N;CM;10;0;0;0;0;1;1;0;0;14;1;0;0;0.0;0.0;0.1;1;0;9;0;90.0;4;11;1;0;Match Report;;;;;;;;;;;;;;;;;;
Giorgi Mamardashvili;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–3;Valencia;Girona;Y*;GK;90;;;;0;;;;;;;;;;;;;;6;7;42.9;;;;;Match Report;5;3;3;40.0;0;2.2;0;0;0;23;6;85.7;58.1;12;1;8.3;0;11.4
Gianluca Mancini;2024-05-19;Sun;Serie A;Matchweek 37;Home;W 1–0;Roma;Genoa;N;CB;10;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;2;0;100.0;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Steve Mandanda;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y*;GK;90;;;;1;;;;;;;;;;;;;;0;1;0.0;;;;;Match Report;4;2;2;75.0;0;2.0;1;0;0;25;7;0.0;19.0;4;0;0.0;2;23.0
Reinildo Mandava;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–4;Atlético Madrid;Osasuna;N;LB;31;0;0;0;0;0;0;0;0;21;0;0;0;0.0;0.0;0.0;1;0;16;0;80.0;2;14;0;0;Match Report;;;;;;;;;;;;;;;;;;
Orel Mangala;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;N;CM;23;0;0;0;0;0;0;0;0;13;0;0;0;0.0;0.0;0.0;1;1;9;1;81.8;0;11;1;1;Match Report;;;;;;;;;;;;;;;;;;
Vito Mannone;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lille;Nice;Y;GK;90;;;;0;;;;;;;;;;;;;;5;1;33.3;;;;;Match Report;4;2;2;50.0;0;1.7;0;0;0;36;1;100.0;61.0;9;2;22.2;4;15.0
Javier Manquillo;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–1;Celta Vigo;Granada;Y;CB;90;0;0;0;0;0;0;0;0;56;3;0;0;0.0;0.0;0.0;0;0;40;1;85.1;1;19;0;0;Match Report;;;;;;;;;;;;;;;;;;
Gian Marco Ferrari;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–2;Sassuolo;Cagliari;Y*;CB;90;0;0;0;0;1;0;0;0;49;1;0;2;0.0;0.0;0.0;1;0;22;0;59.5;6;19;1;0;Match Report;;;;;;;;;;;;;;;;;;
Óscar de Marcos;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;Y;RB;90;0;1;0;0;0;0;0;0;72;0;1;1;0.0;0.0;0.2;3;1;54;0;84.4;4;42;3;0;Match Report;;;;;;;;;;;;;;;;;;
Mirko Marić;2024-05-19;Sun;HNL;Matchweek 35;Away;L 0–2;Rijeka;Osijek;N;;33;0;0;0;0;2;0;0;0;;;1;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Răzvan Marin;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;N;CM;11;0;0;0;0;0;0;1;0;7;0;0;0;0.0;0.0;0.0;1;0;3;0;42.9;1;3;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mika Mármol;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 0–0;Las Palmas;Cádiz;Y;CB;90;0;0;0;0;0;0;0;0;50;1;2;0;0.0;0.0;0.0;0;0;29;0;70.7;0;17;1;0;Match Report;;;;;;;;;;;;;;;;;;
Gabriel Martinelli;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;Y;RW;90;0;0;0;0;2;1;0;0;64;0;0;3;0.2;0.2;0.7;7;0;43;2;78.2;4;53;14;2;Match Report;;;;;;;;;;;;;;;;;;
Lautaro Martínez;2024-05-19;Sun;Serie A;Matchweek 37;Home;D 1–1;Inter;Lazio;Y*;FW;90;0;0;0;0;5;1;0;0;28;0;0;2;0.3;0.3;0.4;4;0;15;2;93.8;2;12;1;1;Match Report;;;;;;;;;;;;;;;;;;
Lisandro Martínez;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;Y;CB;58;0;0;0;0;0;0;0;0;44;1;1;1;0.0;0.0;0.0;0;0;36;1;92.3;0;24;0;0;Match Report;;;;;;;;;;;;;;;;;;
Adam Marušić;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Lazio;Inter;Y*;WB;90;0;0;0;0;0;0;0;0;41;0;0;1;0.0;0.0;0.0;1;1;30;1;75.0;2;12;0;1;Match Report;;;;;;;;;;;;;;;;;;
Omar Mascarell;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 2–2;Mallorca;Almería;N;CM;45;0;0;0;0;0;0;0;0;28;1;2;0;0.0;0.0;0.0;2;0;21;0;91.3;3;18;0;0;Match Report;;;;;;;;;;;;;;;;;;
Clinton Mata;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;Y;RB;90;0;0;0;0;0;0;0;0;73;5;0;1;0.0;0.0;0.0;1;0;55;2;87.3;2;49;0;0;Match Report;;;;;;;;;;;;;;;;;;
Pape Matar Sarr;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;DM;65;0;0;0;0;0;0;0;0;45;0;0;1;0.0;0.0;0.0;0;0;37;0;88.1;4;30;0;0;Match Report;;;;;;;;;;;;;;;;;;
Jean-Philippe Mateta;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 5–0;Crystal Palace;Aston Villa;Y;FW;75;3;1;0;0;3;3;0;0;19;1;0;0;1.6;1.6;0.1;2;1;11;0;84.6;0;9;0;0;Match Report;;;;;;;;;;;;;;;;;;
Nemanja Matić;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;Y;DM;90;0;0;0;0;0;0;0;0;81;1;0;0;0.0;0.0;0.1;1;0;72;0;91.1;16;69;2;0;Match Report;;;;;;;;;;;;;;;;;;
Chrislain Matsima;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–5;Clermont Foot;Lorient;Y;CB;90;0;0;0;0;0;0;0;0;73;5;0;3;0.0;0.0;0.0;1;0;41;0;87.2;2;39;0;0;Match Report;;;;;;;;;;;;;;;;;;
Azor Matusiwa;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y;DM;90;0;0;0;0;0;0;0;0;71;2;1;1;0.0;0.0;0.0;3;0;61;1;93.8;18;58;2;0;Match Report;;;;;;;;;;;;;;;;;;
Neal Maupay;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;N;AM;17;0;0;0;0;0;0;1;0;7;0;0;1;0.0;0.0;0.0;0;0;5;1;83.3;1;4;1;0;Match Report;;;;;;;;;;;;;;;;;;
Konstantinos Mavropanos;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–3;West Ham;Manchester City;Y;CB;90;0;0;0;0;1;0;0;0;35;2;0;1;0.1;0.1;0.0;0;0;21;1;77.8;0;20;0;0;Match Report;;;;;;;;;;;;;;;;;;
Christian Mawissa;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–3;Toulouse;Brest;N;CB;52;0;0;0;0;0;0;1;0;45;1;1;1;0.0;0.0;0.0;1;0;29;3;80.6;1;29;3;2;Match Report;;;;;;;;;;;;;;;;;;
Senny Mayulu;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;Y;LM;61;0;0;0;0;1;0;0;0;44;1;0;0;0.1;0.1;0.0;1;0;34;0;89.5;4;37;1;0;Match Report;;;;;;;;;;;;;;;;;;
Ethan Mbappé;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;N;LM;29;0;0;0;0;0;0;0;0;21;0;0;0;0.0;0.0;0.0;0;0;18;0;85.7;0;21;0;0;Match Report;;;;;;;;;;;;;;;;;;
Chancel Mbemba;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–1;Marseille;Le Havre;Y*;CB;90;0;0;0;0;1;0;0;0;84;0;0;1;0.1;0.1;0.0;2;0;64;0;83.1;8;69;0;0;Match Report;;;;;;;;;;;;;;;;;;
Bryan Mbeumo;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;Y;RW,WB;90;0;0;0;0;0;0;0;0;46;1;0;2;0.0;0.0;0.4;3;0;21;7;65.6;5;27;3;2;Match Report;;;;;;;;;;;;;;;;;;
John McGinn;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;Y*;LM;86;0;0;0;0;0;0;1;0;26;1;0;0;0.0;0.0;0.0;0;0;17;2;81.0;1;18;1;2;Match Report;;;;;;;;;;;;;;;;;;
Dwight McNeil;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Everton;Arsenal;Y;LM;90;0;0;0;0;0;0;0;0;45;1;1;1;0.0;0.0;0.0;1;1;30;2;78.9;0;23;2;2;Match Report;;;;;;;;;;;;;;;;;;
Scott McTominay;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;Y;FW;90;0;0;0;0;3;0;0;0;33;1;0;0;0.3;0.3;0.0;1;0;21;1;84.0;1;22;3;0;Match Report;;;;;;;;;;;;;;;;;;
Hannibal Mejbri;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–2;Sevilla;Athletic Club;N;CM;6;0;0;0;0;0;0;0;0;8;1;0;1;0.0;0.0;0.1;1;0;5;0;71.4;1;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Óscar Melendo;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–2;Granada;Celta Vigo;N;AM;18;0;0;0;0;0;0;0;0;9;1;0;0;0.0;0.0;0.0;0;0;5;1;62.5;0;9;1;0;Match Report;;;;;;;;;;;;;;;;;;
Gonzalo Melero;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 2–2;Almería;Mallorca;Y;DM;57;0;0;0;0;1;0;0;0;37;0;0;1;0.1;0.1;0.0;0;0;26;1;81.3;3;21;0;1;Match Report;;;;;;;;;;;;;;;;;;
Brais Méndez;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;Y;RM;75;1;0;0;0;1;1;0;0;38;1;2;4;0.0;0.0;0.1;2;1;16;1;66.7;1;16;1;0;Match Report;;;;;;;;;;;;;;;;;;
Antoine Mendy;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;Y;CB;90;0;0;0;0;0;0;0;0;74;0;2;0;0.0;0.0;0.0;2;0;60;5;90.9;4;63;0;4;Match Report;;;;;;;;;;;;;;;;;;
Benjamin Mendy;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;Y;WB;19;0;0;0;0;3;0;0;0;17;0;1;0;0.4;0.4;0.0;1;0;8;1;66.7;0;10;1;0;Match Report;;;;;;;;;;;;;;;;;;
Nampalys Mendy;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;Y;CM;90;0;0;0;0;1;0;0;0;93;3;1;0;0.0;0.0;0.4;5;2;74;2;90.2;10;73;2;0;Match Report;;;;;;;;;;;;;;;;;;
Teden Mengi;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;Y;CB;16;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;2;0;66.7;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mikel Merino;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;Y;CM;90;1;0;0;0;1;1;0;0;52;8;3;0;0.1;0.1;0.1;2;1;25;1;69.4;3;26;2;1;Match Report;;;;;;;;;;;;;;;;;;
Quentin Merlin;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–1;Marseille;Le Havre;N;LB;21;0;0;0;0;0;0;0;0;12;1;1;1;0.0;0.0;0.0;0;0;5;0;71.4;0;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
Lucas Michal;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 4–0;Monaco;Nantes;N;FW;7;0;0;0;0;0;0;0;0;1;0;0;0;0.0;0.0;0.0;0;0;1;0;100.0;0;1;1;0;Match Report;;;;;;;;;;;;;;;;;;
Georges Mikautadze;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;Y;FW;90;0;0;0;0;4;2;0;0;45;1;0;2;0.3;0.3;0.4;4;0;22;3;64.7;4;31;5;3;Match Report;;;;;;;;;;;;;;;;;;
Éder Militão;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 4–4;Real Madrid;Villarreal;Y;CB;60;0;0;0;0;0;0;0;0;59;3;3;1;0.0;0.0;0.0;0;0;40;0;87.0;2;36;2;0;Match Report;;;;;;;;;;;;;;;;;;
Yerry Mina;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 2–0;Cagliari;Sassuolo;Y;CB;90;0;0;0;0;0;0;0;0;50;0;0;1;0.0;0.0;0.0;1;0;30;0;75.0;1;25;0;0;Match Report;;;;;;;;;;;;;;;;;;
Takumi Minamino;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 4–0;Monaco;Nantes;N;LM;14;0;0;0;0;0;0;0;0;9;1;0;0;0.0;0.0;0.0;0;0;5;0;62.5;0;4;0;0;Match Report;;;;;;;;;;;;;;;;;;
Lucas Mincarelli;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;Y;LM;78;1;0;0;0;2;1;0;0;50;1;1;2;0.2;0.2;0.0;0;0;32;1;82.1;3;27;2;0;Match Report;;;;;;;;;;;;;;;;;;
Óscar Mingueza;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–1;Celta Vigo;Granada;Y;WB;90;0;0;0;0;0;0;0;0;58;0;0;0;0.0;0.0;0.0;2;0;38;4;73.1;2;31;2;2;Match Report;;;;;;;;;;;;;;;;;;
